Item,TimeId,Calories,Date New
Dosa,1,400,1/1/2024
Corn Flakes,1,250,1/1/2024
Sambar Rice,2,220,1/1/2024
Curd Rice,2,380,1/1/2024
Potato Fry,2,250,1/1/2024
Milk,3,150,1/1/2024
Wrap,4,350,1/1/2024
Milk,4,150,1/1/2024
Dosa,1,400,1/2/2024
Corn Flakes,1,250,1/2/2024
Rasam Rice,2,200,1/2/2024
Curd Rice,2,380,1/2/2024
Carrot Veggies,2,150,1/2/2024
Milk,3,150,1/2/2024
Pasta,4,250,1/2/2024
Curd Rice,4,200,1/2/2024
Milk,4,150,1/2/2024
Bread,1,250,1/3/2024
Corn Flakes,1,250,1/3/2024
Sambar Rice,2,220,1/3/2024
Curd Rice,2,380,1/3/2024
Beans,2,150,1/3/2024
Milk,3,150,1/3/2024
Curd Rice,4,200,1/3/2024
Milk,4,150,1/3/2024
Bread,1,250,1/4/2024
Smoothie,1,250,1/4/2024
Tamarind Rice,2,200,1/4/2024
Curd Rice,2,380,1/4/2024
Chips,2,100,1/4/2024
Milk,3,150,1/4/2024
Snickers,3,150,1/4/2024
Wrap,4,350,1/4/2024
Milk,4,150,1/4/2024
Banana,4,75,1/4/2024
Dosa,1,400,1/5/2024
Corn Flakes,1,250,1/5/2024
Sambar Rice,2,220,1/5/2024
Curd Rice,2,380,1/5/2024
Potato Fry,2,250,1/5/2024
Milk,3,150,1/5/2024
Dates,3,100,1/5/2024
Curd Rice,4,200,1/5/2024
Milk,4,150,1/5/2024
Banana,4,75,1/5/2024
Poha,1,200,1/6/2024
Smoothie,1,200,1/6/2024
Pizza,2,400,1/6/2024
Cake,2,100,1/6/2024
Milk,3,150,1/6/2024
Dates,3,100,1/6/2024
Dosa,4,400,1/6/2024
Milk,4,150,1/6/2024
Corn Flakes,1,250,1/7/2024
Rasam Rice,2,200,1/7/2024
Curd Rice,2,380,1/7/2024
Cabbage,2,150,1/7/2024
Milk,3,150,1/7/2024
Pasta,4,250,1/7/2024
Milk,4,150,1/7/2024
Vermicelli,1,200,1/8/2024
Smoothie,1,200,1/8/2024
Curd Rice,2,380,1/8/2024
Milk,3,150,1/8/2024
Cake,3,150,1/8/2024
Dosa,4,300,1/8/2024
Milk,4,150,1/8/2024
Banana,4,75,1/8/2024
Bread,1,250,1/9/2024
Corn Flakes,1,250,1/9/2024
Sambar Rice,2,220,1/9/2024
Curd Rice,2,380,1/9/2024
Beans,2,150,1/9/2024
Milk,3,150,1/9/2024
Curd Rice,4,200,1/9/2024
Puttu,1,300,1/11/2024
Fried Rice,2,350,1/11/2024
Milk,3,150,1/11/2024
Momos,4,200,1/11/2024
Milk,4,150,1/11/2024
Banana,4,75,1/11/2024
Puttu,1,300,1/12/2024
Sambar Rice,2,220,1/12/2024
Curd Rice,2,380,1/12/2024
Milk,3,150,1/12/2024
Curd Rice,4,200,1/12/2024
Milk,4,150,1/12/2024
Banana,4,75,1/12/2024
Dosa,1,400,1/13/2024
Corn Flakes,1,250,1/13/2024
Sambar Rice,2,220,1/13/2024
Curd Rice,2,380,1/13/2024
Potato Fry,2,250,1/13/2024
Milk,3,150,1/13/2024
Dates,3,100,1/13/2024
Curd Rice,4,200,1/13/2024
Milk,4,150,1/13/2024
Bread,1,250,1/14/2024
Corn Flakes,1,250,1/14/2024
Rasam Rice,2,200,1/14/2024
Curd Rice,2,380,1/14/2024
Cabbage,2,150,1/14/2024
Milk,3,150,1/14/2024
Momos,4,200,1/14/2024
Milk,4,150,1/14/2024
Banana,4,75,1/14/2024
Poha,1,200,1/15/2024
Smoothie,1,200,1/15/2024
Pizza,2,400,1/15/2024
Milk,3,150,1/15/2024
Snickers,3,150,1/15/2024
Curd Rice,4,200,1/15/2024
Milk,4,150,1/15/2024
Banana,4,75,1/15/2024
,#N/A,,
